plot,latitude,longitude,slope_degrees,Aspect,date,invasives,recent_timber_harvest,Observers,Other_notes,
1 97,42.30821 N,72.38407 W,8,west,8-Jun,no,no,"ABP, GS, MP, CM","fallen oak near plot center > 50 cm, no invasive plants",
1 98,42.30972 N,72.37284 W,10,northeast,29-Jun,no,no,"GS, MP, DS",steeper slope north a little further away from plot center,
2 05,42.39137 N,72.38483 W,16,east,15-Jul,no,no,"GS, DS, CL",,
2 07,42.39124 N,72.38563 W,8,east,13-Jul,no,no,"GS, DS, CL",,
2 08,42.39117 N,72.38520 W,10,east,15-Jul,no,no,"GS, DS, CL",rocky area,
2 15,42.38982 N,72.39142 W,2,Southeast,15-Jul,no,no,"GS, DS, CL","creek runs through plot, past timber harvest with mossy stumps",
2 16,42.38950 N,72.39266 W,3,south,15-Jul,no,no,"GS, DS, CL","plot at edge is on top of slope and below slope is creek, past timber harvest ",
2 23,42.39021 N,72.39053 W,4,west,15-Jul,no,no,"GS, DS, CL",,
2 24,42.39021 N,72.39053 W,2,east,15-Jul,no,no,"GS, DS, CL",Past timber harvest mossy stumps,
2 31,42.388321 N,72.389290 W,2,north,20-Jul,no,no,"GS, MP, SF",By dried up creek thats rocky,
2 38,42.387654 N,72.382712 W,2,Northeast,20-Jul,no,no,"GS, MP, SF",,
2 39,42.387439 N,72.382729 W,1,northeast,20-Jul,no,no,"GS, MP, SF",,
2 40,42.386874 N,72.382983 W,10,northeast,20-Jul,no,no,"MP, GS, SF",,
2 41,42.386877 N,72.384495 W,2,east,20-Jul,no,no,"GS, SF, MP",,
2 47,42.385453 N,72.387258 W,2,east,20-Jul,no,no,"GS, MP, SF",,
2 49,42.38575 N,72.37862 W,4,northeast,15-Jul,no,no,"GS, DS, CL",,
2 50,42.38530 N,72.37748 W,5,east,15-Jul,no,no,"GS, DS, CL",,
3 00,42.37742 N,72.34236 W,8,east,7-Jun,no,no,"MO, DS, MP GS","Thick understory might be limiting ground growth, assumed no invasives",
3 04,42.37557 N,72.33245 W,6,east,15-Jun,yes,no,"GS, MP, DS, CM",Barberry nearby,
3 14,42.369806 N,72.329893 W,10,east,7-Jul,no,no,"MP, DS, GS","all dbh's in inches, barbed wire",
3 15,42.36971 N,72.132948 W,5,southeast,7-Jul,no,no,"DS, GS, MP",,
3 16,42.37496 N,72.33077 W,5,east,15-Jun,no,yes,"GS, MP, DS, CM",stumps present would have been included if still standing tress ,
3 17,42.37445 N,72.33096 W,3,west,15-Jun,no,yes,"GS, MP, DS, CM",,
3 19,42.37395 N,72.32964 W,4,south,15-Jun,no,no,"GS, MP, DS, CM",,
3 20,42.37431 N,72.33328 W,10,South,15-Jun,no,no,"GS, MP, DS, CM","several dead standing oaks, lots of young oaks throughout plot, very sunny area with no ferns, some maple sprouts, on slope very sunny area with shaded forest below",
3 21,42.37438 N,72.33471 W,9,south,15-Jun,no,yes,"MP, DS CM, GS",Stumps,
3 22,42.37395 N,72.33415 W,5,northeast,15-Jun,no,no,"DS, GS, MP, CM",,
3 25,42.373433 N,72.346412 W,4,west,14-Jul,no,no,"SF, GS, ABP",,
3 27,42.375710 N,072.3470 W,2,west,7-Jun,no,no,"MP, MO, GS, DS",assumed no invasives,
3 28,42.37500 N,72.34158 W,2,east,7-Jun,no,no,"MP, MO, GS, DS",assumed no invasives and timber harvest,
3 29,42.37429 N,72.34239 W,6,southeast,7-Jun,no,no,"MP, MO, GS, DS",assumed no invasives,
3 30,42.37437 N,72.34422 W,3,southeast,7-Jun,no,no,"MO, DS, MP GS",assumed no invasives,
3 32,42.37168 N,72.34092 W,2,northwest,7-Jun,no,no,"MP, MO, GS, DS",assumed no invasives and timber harvest,
3 35,42.37640 N,72.34048 W,8,east,7-Jun,no,no,"MO, GS, DS, MP",assumed no invasives,
3 39,42.37294 N,72.33034 W,6,north,15-Jun,no,no,"DS, GS, CM, MP",,
3 49,42.372657 N,72.348195 W,4,southwest,14-Jul,no,no,"GS, SF, ABP",giant rocks in plot with tree growing on top,
3 54,42.37127 N,72.34230 W,5,west,7-Jun,no,no,"DS, GS, MP, MO",assumed no invasives,
3 55,42.37080 N,072.3451 W,4,East,7-Jun,no,no,"MP, MO, GS, DS",assumed no invasives,
3 60,42.37011 N,72.34002 W,2,north,7-Jun,no,no,"MP, MO, GS, DS","Heavy winds damage noted by many fallen trees, assumed no invasives",
3 62,42.367113 N,72.343690 W,4,west,13-Jul,no,no,"GS, SF, ABP",,
3 63,42.366752 N,72.344581 W,2,northwest,14-Jul,no,no,"GS, ABP, SF","Evidence of past timber harvest with mossy stumps, sprig of bittersweet, twinged ivony mous",
3 71,42.36752 N,72.34846 W,5,west,14-Jul,no,no,"ABP, SF, GS",Stonewall nearby,
3 73,42.370961 N,72.346574 W,8,west,14-Jul,yes,no,"ABP, SF, GS",Barberry,
3 74,42.370242 N,72.345629 W,2,west,14-Jul,no,no,"ABP, SF, GS",,
3 75,42.36718 N,72.33559 W,1,west,1-Jul,no,no,"DS, GS, MP",,
3 77,42.36713 N,72.33610 W,7,west,1-Jul,no,yes,"GS, MP, DS","West side of plot is swamp/creek; barberry by swamp, but not in plot",
3 78,42.36652 N,72.33629 W,3,west,7-Jun,yes,yes,"DS, GS, MP",dried up stream on western part of plot,
3 79,42.36674 N,72.33765 W,2,southeast,1-Jul,no,yes,"DS, GS, MP",,
3 80,42.36583 N,72.33555 W,1,west,1-Jul,yes,no,"MP, DS, GS","buckthorn, sparse",
3 83,42.366544 N,72.327244 W,6,east,7-Jul,no,no,"MP, GS, DS",,Note from Char - I got lat/lon for any missing from 2017 data
3 85,42.36870388 N,72.33141077 W,7,east,7-Jul,no,no,"GS, MP, DS",,
3 88,42.367201 N,72.329285 W,4,east,7-Jul,yes,no,"GS, MP, DS",Barberry,
3 96,42.36164 N,72.34063 W,2,west,1-Jul,no,no,"GS, MP, DS",trees all have blue spray paint lines on them,
3 97,42.36390 N,72.33532 W,3,west,1-Jul,no,yes,"GS, MP, DS",in open large clearing field of blueberry,
3 99,42.36225 N,72.33192 W,2,south,1-Jul,no,yes,"DS, GS, MP",barbed wire; evidence of previous human occupation?,
4 12,42.42226 N,72.32146 W,6,east,10-Jun,no,yes,"DS, GS, MP",assumed no timber harvest,
4 13,42.42181 N,72.32053 W,7,east,10-Jun,no,no,"DS, GS, MP",assumed no timber harvest,
4 16,42.42211 N,72.33250 W,4,southeast,24-Jun,yes,no,"GS, MP, DS",Barberry,
4 17,42.42157 N,72.33272 W,6,southeast,24-Jun,yes,no,"GS, MP, DS",norway spruce sapling about 8 feet tall,
4 25,42.41995 N,72.33478 W,9,northeast,24-Jun,yes,no,"GS, MP, DS",Barberry,
4 26,42.41977 N,72.33538 W,3,east,24-Jun,no,no,"GS, MP, DS",,
4 27,42.422171 N,72.327181 W,4,west,19-Jul,no,no,"GS, MP. DS",,
4 31,42.421725 N,72.327763 W,4,northwest,19-Jul,no,no,"GS, DS, MP",,
4 33,42.420855 N,72.327293 W,4,south,19-Jul,no,no,"MP, DS, GS",,
4 35,42.42014 N,72.32008 W,3,South,10-Jun,no,yes,"DS, GS, MP",assumed no timber harvest,
4 37,42.42056 N,72.32284 W,8,east,10-Jun,no,no,"DS, GS, MP",assumed no timber harvest,
4 39,42.41934 N,72.31912 W,3,north,10-Jun,no,no,"DS, GS, MP","Metal ring on ground, assumed no timber harvest",
4 40,42.41930 N,72.32313 W,6,East,10-Jun,no,yes,"DS, GS, MP",assumed no timber harvest,
4 43,42.418544 N,72.328464 W,4,west,19-Jul,no,no,"GS, MP, DS",,
4 44,42.418462 N,72.32083 W,2,west,19-Jul,no,no,"DS, GS, MP",,
4 53,42.41465 N ,72.33181 W,4,East,24-Jun,yes,no,"DS, GS, MP",barberry,
4 56,42.41609 N,72.32102 W,2,southeast,10-Jun,no,yes,"DS, GS, MP",assumed no timber harvest,
4 57,42.41570 N,72.31920 W,5,East,10-Jun,no,yes,"DS, GS, MP",,
4 60,42.416806 N,72.327966 W,1,east,19-Jul,no,no,"MP, DS, GS","Tape marked ""Timber Harvest""; Timber Harvest likely happened long ago; not recent",
4 62,42.314499 N,72.323889 W,6,East,19-Jul,no,yes,"DS, GS, MP",,
4 63,42.416007 N,72.327835 W,16,east,19-Jul,no,no,"MP, GS, DS",,
4 64,42.415145 N,72.324925 W,9,east,19-Jul,no,yes,"MP, GS, DS",,
4 67,42.41482 N,72.326349 W,16,East,19-Jul,yes,no,"DS, GS, MP",Single multiflora rose in plot ,
4 68,42.41362 N,72.31960 W,2,East,10-Jun,no,yes,"DS, GS, MP",some stumps in plot,
4 72,42.41346 N,72.32037 W,2,south,10-Jun,no,yes,"DS, GS, MP",,
4 74,42.41429 N,72.33076 W,6,west,24-Jun,yes,no,"GS, DS, MP",Barberry,
4 76,42.41245 N,72.32928 W,5,west,24-Jun,no,no,"MP, DS, GS",,
4 77,42.4154 N,72.33807 W,0.5,north,1-Jun,yes,no,"GS, ABP, MP, DS",,
4 85,42.41269 N,072.335710 W,8,west,1-Jun,yes,no,"ABP, MP, GS, DS","lots of barberries, vegetation follows slope",
4 87,42.41241 N,72.33282 W,2,east,1-Jun,no,no,"MP, ABP, GS, DS",assumed no invasives,
4 90,42.41346 N,72.33099 W,16,west,24-Jun,yes,no,"GS, MP, DS",creek in middle of plot; slopes towards creek; barberry,
4 93,42.40935 N,72.32528 W,12,east,1-Jun,no,yes,"ABP, DS, MP, GS","Timber harvest since 2017, lots of stumps, at least 2 RO stumpts would have been in, assumed no invasives",
4 96,42.41033 N,72.3346 W,8,east,1-Jun,yes,no,"ABP, MP, DS, GS",lots of barberry; small seep in plot,
4 97,42.40997 N,72.33569 W,8,northeast,1-Jun,yes,no,"MP, GS, ABP, DS","lots of barberry, assumed no timber harvest",
5 00,42.354679 N,72.273985 W,0,flat,22-Jul,no,no,"DS, GS, MP",past timber harvest with mossy stumps,
5 06,42.353361 N,72.2741630 W,2,west,22-Jul,yes,no,"GS, MP, DS","Barberry, past timber harvest with mossy stumps",
5 07,42.35413 N,72.27141 W,2,west,21-Jun,no,no,"MP, MO, GS, DS",,
5 09,42.35365 N,72.27152 W,1,west,21-Jun,no,no,"MP, MO, GS, DS",,
5 10,42.35312 N,72.27177 W,0,flat,21-Jun,no,no,"MP, MO, GS, DS",trees are mixed,
5 12,42.35325 N,72.27128 W,0,flat,21-Jun,no,no,"MP, MO, GS, DS",,
5 15,42.35139 N,72.27573 W,1,north,21-Jun,yes,no,"DS, GS, MO, MP",bird's nest (yellow rumped warbler),
5 20,42.35189 N,72.27924 W,35,west,6-Jul,no,no,"GS, MP, TP",,
5 24,42.34898 N,72.27517 W,1,west,21-Jun,yes,no,"MP, MO, GS, DS","barberry, bittersweet",
5 26,42.34733 N,72.27493 W,3,west,21-Jun,no,no,"MO, GS, DS, MD",,
5 27,42.34637 N,72.27493 W,2,west,21-Jun,yes,no,"MO, GS, DS, MD",,
5 30,42.347855 N,72.281585 W,13,west,22-Jul,no,no,"MP, DS, GS",Past timber harvest with mossy stumps,
5 32,42.35205 N,72.28252 W,8,west,6-Jul,no,no,"GS, TP, MP",Sloped towards water of quabbin,
5 38,42.34606 N,72.26328 W,6,northeast,3-Jun,no,no,"MO, GS, DS, MD",assumed no invasives,
5 54,42.345068 N,72.277234 W,6,southwest,2-Jun,no,no,"DS, GS, MP",assumed no invasives,
5 55,42.34463 N,72.27662 W,2,north,2-Jun,no,no,"MP, GS, DS",assumed no invasives,
5 56,42.34324 N,72.27633 W,2,west,2-Jun,no,no,"DS, GS, MP",assumed no invasives and timber harvest,
5 58,42.3426941 N,72.27653768 W,gentle,west,26-May,no,no,"ABP, DS, MO, GS, MP",assumed no invasives and timber harvest,
5 59,42.34303063 N,72.2798242 W,4,east,8-Jul,no,no,"GS, MP, DS",,
5 64,42.34243 N ,72.269899 W,4,south,3-Jun,no,no,"MP, GS, DS, MO","gall wasps on white oak saplings, assumed no invasives",
5 65,42.34232 N,72.26943 W,4,west,3-Jun,no,no,"MP, GS, DS, MO",assumed no invasives,
5 75,42.3431784 N,72.28506734 W,2,west,8-Jul,yes,no,"GS, MP, DS","Between road and stream, multi rose and barberry",
5 77,42.343741 N,72.282209 W,8,norwest,8-Jul,no,no,"MP, DS, GS",,
5 81,42.34145 N,72.26411 W,3,west,3-Jun,no,no,"GS, MO, DS, MP","fire scaring on local trees following aspect, assumed no invasives",
5 85,42.34005 N,72.26536 W,4,west,3-Jun,no,no,"MP, GS, DS, MO",assumed no invasives and timber harvest,
5 86,42.33958 N,072.268100 W,2,northwest,2-Jun,no,no,"DS, GS, MP",assumed no invasives and timber harvest,
5 87,42.340901 N,72.282126 W,4,west,8-Jul,yes,no,"GS, MP, DS","Multiflora rose, barberry",
5 88,42.34043586 N,72.28224031 W,1,west,8-Jul,yes,no,"GS, MP, DS",barberry,
5 90,42.338798 N,72.280979 W,1,west,8-Jul,no,no,"DS, MP, GS",,
5 91 ,42.338014 N,72.278167 W,15,west,8-Jul,no,no,"DS, GS, ABP, MP, SB","Rocky, forgot to note sprouts on the oaks",
5 92,42.337749 N,72.276747 W,5,east,8-Jul,no,no,"DS, GS, ABP, MP, SB",,
5 97,42.340614 N,72.282686 W,6,west,8-Jul,no,no,"DS, GS, MP","timber harvest in far part, cold decayed stumpts",
5 98,42.33841 N,72.26698 W,1,West,3-Jun,no,no,"MO, GS, DS, MD",assumed no invasives,
6 01,42.43383 N,72.23645 W,7,northeast,22-Jun,no,yes,"CM, GS, MP",close to road,
6 03,42.43634 N,72.24239 W,1,north,5-Jul,no,no,"MP, DS, GS",,
6 04,42.43611 N,72.24168 W,0,West,5-Jul,yes,no,"DS. GS, MP",barberry,
6 05,42.43621 N,72.24364 W,2,west,5-Jul,no,no,"GS, MP, DS",,
6 08,42.43394 N,72.23177 W,flat,north,5-Jul,no,yes,"GS, MP, DS",,
6 11,42.43192 N,72.24899 W,1,west,5-Jul,no,no,"MP, GS, DS",Thick understory; some trees that are possibly in the plot could not be seen by cruz-all,
6 12,42.43145 N,72.23272 W,,,22-Jun,no,yes,"CM, GS, MP",,
6 13,42.43076 N,72.233612 W,4,Southwest,22-Jun,no,yes,"CM, GS, MP",,
6 19,42.42854 N,72.23193 W,2,east,28-Jun,no,no,"GS, MP, DS, CM",,
6 23,42.43239 N,72.23631 W,6,south,22-Jun,no,no,"CM, GS, MP",in small clearing,
6 24,42.43322 N,72.24232 W,1,north,5-Jul,no,yes,"MP, DS, GS",,
6 28,42.43236 N,72.24375 W,6,west,5-Jul,no,no,"DS, GS, MP",,
6 29,42.43077 N,72.23529 W,6,south,22-Jun,no,yes,"CM, GS, MP",,
6 33,42.429840 N,72.23856 W,gentle,south,27-May,no,yes,"ABP, DS, GS, MP",assumed no invasives,
6 35,42.43199 N,72.23430 W,2,west,22-Jun,no,yes,"CM, GS, MP",,
6 37,42.43359 N,72.24710 W,3,north,5-Jul,no,no,"GS, MP, DS",,
6 42,42.43026  N,72.25018 W,5,north,5-Jul,no,no,"GS, MP, DS",,
6 46,42.42814 N,72.23410 W,1,east,28-Jun,no,no,"CM, GS, DS, MP",1/2 hemlock stand,
6 47,42.42723 N,72.23343 W,14,east,28-Jun,yes,no,"MP, GS, CM, DM",slope goes towards dried up creek; barberry,
6 50,42.424739 N,72.235437 W,0,flat,27-May,yes,no,"ABP, DS, GS, MP",assumed no timber harvest,
6 53,42.42798651 N,72.2513442 W,,,19-May,no,no,"DS, CM, ABP","center next to stone wall, assumed no invasives",
6 56,42.42661 N,72.23810 W,gentle,south,27-May,no,no,"ABP, DS, GS, MP",assumed no invasives,
6 59,42.42605 N,72.23994 W,3,south,17-Jun,yes,no,"DS, GS, MP",By creek/stream; aspect towards road,
6 60,42.42572972 N,72.23925696 W,gentle,south,27-May,yes,no,"GS, ABP, MP, DS",right by road past human activity invasives rock walls,
6 65,42.43053 N,72.24829 W,3,west,5-Jul,yes,no,"GS, DS, MP",Barberry,
6 66,42.42877 N,72.24837 W,1,west,17-Jun,yes,no,"GS, DS, MP",,
6 67,42.42767 N,72.24319 W,9,southwest,17-Jun,no,no,"DS, MP, GS",,
6 68,42.42813 N,72.24908 W,1,northeast,17-Jun,no,no,"MP, GS, DS",,
6 69,42.42744 N,72.24542 W,4,south,17-Jun,no,no,"GS, DS, MP","lots of weirdly shaped trees, lots of rocks in area",
6 70,42.42699 N,72.24487 W,5,east,17-Jun,no,no,"GS, MP, DS",,
6 72,42.427103 N,72.247887 W,2,north,21-Jul,no,no,"DS, MP, CM, GS",,
6 77,42.42518 N,72.24135 W,1,southwest,17-Jun,yes,no,"MP, GS, DS",Downslope after stone wall (SW 9 degrees slope); barberry,
6 78,42.425189 N,72.245378 W,6,east,21-Jun,no,no,"MP, DS, GS, CM",,
6 81,42.42369 N,72.23858 W,2,south,17-Jun,yes,no,"DS, GS, MP","barberry, bittersweet",
6 82,42.424574 N,72.243447 W,4,northeast,21-Jul,yes,no,"GS, MP, DS, CM",barberry. by creek,
6 84,42.422184 N,72.244295 W,16,southeast,21-Jul,no,no,"CM, MP, GS, DS",,
6 85,42.42782 N,72.25335 W,1,north,28-Jun,yes,no,"GS, DS, MP, CM",Barberry,
6 88,42.424267 N,72.250366 W,3,NE,21-Jul,no,no,"CM, GS, MP, DS","Very little ground cover, lots of thin black birch saplings, lots of fallen young pine",
6 89,42.420989 N,72.242048 W,4,northeast,21-Jul,yes,no,"GS, MP, DS, CM","Barberry, Glossy buckthorn",
6 90,42.420156 N,72.40545 W,2,SE,21-Jul,yes,no,"DS, GS, MP, CM",Barberry,
6 91,42.420462 N,72.241426 W,2,southwest,21-Jul,yes,no,"MP, DS, GS, CM",Barberry,
6 92,42.422582 N,72.250580 W,1,west,21-Jul,no,no,"GS, MP, DS, CM",,
6 93,42.420891 N,72.246277 W,4,east,21-Jul,no,no,"DS, MP, CM, GS",,
6 96,42.420872 N,72.250094 W,1,southwest ,21-Jul,no,no,"MP. GS, DS, CM",,
