"","Year","Site","Habitat","Coarse_Trophic","Average_Herbivore_Biomass","Macroalgae_Percent_Cover","Turf_Algae_Percent_Cover","Non-algae_Percent_Cover","Cyclone_Disturbance"
"186",2017,"2","FR","Primary Consumer",26.0308,17.12,62,20.88,"post"
"187",2017,"3","BA","Primary Consumer",22.4628,9.12,54.72,36.16,"post"
"188",2017,"3","FO","Primary Consumer",1.9158,24.48,34.4,41.12,"post"
"189",2017,"3","FR","Primary Consumer",0.0724,4.08,50.16,45.76,"post"
"190",2017,"4","BA","Primary Consumer",0.576,5.04,39.68,55.28,"post"
"191",2017,"4","FO","Primary Consumer",5.5514,6.24,40.88,52.88,"post"
"192",2017,"4","FR","Primary Consumer",0.6046,0.56,12.88,86.56,"post"
"193",2017,"5","BA","Primary Consumer",2.2316,2.16,29.12,68.72,"post"
"194",2017,"5","FO","Primary Consumer",1.148,12.32,38.32,50.16,"post"
"195",2017,"5","FR","Primary Consumer",0,1.04,12.96,86,"post"
"196",2017,"6","BA","Primary Consumer",0.82444,0.96,31.76,67.28,"post"
"197",2017,"6","FO","Primary Consumer",4.2752,5.04,35.12,59.84,"post"
"198",2017,"6","FR","Primary Consumer",0,17.1,59.6,21.36,"post"
"199",2018,"1","BA","Primary Consumer",4.6012,18.24,44.64,37.12,"post"
"200",2018,"1","FO","Primary Consumer",3.3004,3.2,8.48,88.32,"post"
"201",2018,"1","FR","Primary Consumer",0.7392,1.6,15.92,82.48,"post"
"202",2018,"2","BA","Primary Consumer",0.87472,40.16,28.56,31.28,"post"
"203",2018,"2","FO","Primary Consumer",0.78,10,16,74,"post"
"204",2018,"2","FR","Primary Consumer",52.224,17.44,65.04,17.52,"post"
"205",2018,"3","BA","Primary Consumer",14.4964,10.8,49.68,39.52,"post"
"206",2018,"3","FO","Primary Consumer",4.6572,28.48,35.12,36.4,"post"
"207",2018,"3","FR","Primary Consumer",0,3.92,44,52.08,"post"
"208",2018,"4","BA","Primary Consumer",1.60864,4.16,44.88,50.96,"post"
"209",2018,"4","FO","Primary Consumer",0.6704,5.28,45.12,49.6,"post"
"210",2018,"4","FR","Primary Consumer",0,0.08,8.16,91.76,"post"
"211",2018,"5","BA","Primary Consumer",0.91144,2.8,27.6,69.6,"post"
"212",2018,"5","FO","Primary Consumer",1.562,11.68,33.84,54.48,"post"
"213",2018,"5","FR","Primary Consumer",0.8868,0,10.32,89.68,"post"
"214",2018,"6","BA","Primary Consumer",5.1528,1.04,32.56,66.4,"post"
"215",2018,"6","FO","Primary Consumer",2.6692,4.72,36.16,59.12,"post"
"216",2018,"6","FR","Primary Consumer",0,9.04,65.12,25.84,"post"
"217",2019,"1","BA","Primary Consumer",10.8208,25.52,42.32,31.92,"post"
"218",2019,"1","FO","Primary Consumer",1.0316,3.12,10.32,86.56,"post"
"219",2019,"1","FR","Primary Consumer",0,6.48,33.04,60.48,"post"
"220",2019,"2","BA","Primary Consumer",0.4328,26.8,33.6,39.6,"post"
"221",2019,"2","FO","Primary Consumer",0.919,11.52,17.44,71.04,"post"
"222",2019,"2","FR","Primary Consumer",0.10196,16.32,79.52,4.16,"post"
"223",2019,"3","BA","Primary Consumer",0.656,12.8,56.16,31.04,"post"
"224",2019,"3","FO","Primary Consumer",0,26.64,35.76,37.6,"post"
"225",2019,"3","FR","Primary Consumer",0.08824,12.96,50.56,36.48,"post"
"226",2019,"4","BA","Primary Consumer",0.45784,6.64,55.52,37.84,"post"
"227",2019,"4","FO","Primary Consumer",1.258,4.96,36.72,58.32,"post"
"228",2019,"4","FR","Primary Consumer",0,0.72,25.2,74.08,"post"
"229",2019,"5","BA","Primary Consumer",3.9704,1.84,33.04,65.12,"post"
"230",2019,"5","FO","Primary Consumer",1.9222,10,24.96,65.04,"post"
"231",2019,"5","FR","Primary Consumer",6.50988,0.24,22.16,77.6,"post"
"232",2019,"6","BA","Primary Consumer",1.63328,0.32,39.84,59.84,"post"
"233",2019,"6","FO","Primary Consumer",2.679,3.76,34.8,61.44,"post"
"234",2019,"6","FR","Primary Consumer",0.0246,6.24,81.76,12,"post"
"235",2022,"1","BA","Primary Consumer",0,NA,NA,NA,"post"
"236",2022,"1","FO","Primary Consumer",4.1834,NA,NA,NA,"post"
"237",2022,"1","FR","Primary Consumer",0.0246,NA,NA,NA,"post"
"238",2022,"2","BA","Primary Consumer",0.6288,NA,NA,NA,"post"
"239",2022,"2","FO","Primary Consumer",0.5106,NA,NA,NA,"post"
"240",2022,"2","FR","Primary Consumer",0,NA,NA,NA,"post"
"241",2022,"3","BA","Primary Consumer",42.3612,NA,NA,NA,"post"
"242",2022,"3","FO","Primary Consumer",1.8074,NA,NA,NA,"post"
"243",2022,"3","FR","Primary Consumer",0,NA,NA,NA,"post"
"244",2022,"4","BA","Primary Consumer",1.9932,NA,NA,NA,"post"
"245",2022,"4","FO","Primary Consumer",2.5678,NA,NA,NA,"post"
"246",2022,"4","FR","Primary Consumer",0,NA,NA,NA,"post"
"247",2022,"5","BA","Primary Consumer",41.256,NA,NA,NA,"post"
"248",2022,"5","FO","Primary Consumer",3.4352,NA,NA,NA,"post"
"249",2022,"5","FR","Primary Consumer",0.00452,NA,NA,NA,"post"
"250",2022,"6","BA","Primary Consumer",1.9224,NA,NA,NA,"post"
"251",2022,"6","FO","Primary Consumer",2.6622,NA,NA,NA,"post"
"252",2022,"6","FR","Primary Consumer",1.9988,NA,NA,NA,"post"
